Sigma,Gamma,Time_to_95_percent_healing
0.020000000000000004,0.005,1091000.0
0.020000000000000004,0.006,1089500.0
0.020000000000000004,0.007,1088500.0
0.020000000000000004,0.008,1088000.0
0.020000000000000004,0.009000000000000001,1087000.0
0.020000000000000004,0.01,1086500.0
0.020000000000000004,0.011,1086000.0
0.020000000000000004,0.012,1085500.0
0.020000000000000004,0.013000000000000001,1085500.0
0.020000000000000004,0.014000000000000002,1085000.0
0.020000000000000004,0.015,1085000.0
0.020000000000000004,0.016,1084500.0
0.020000000000000004,0.017,1084500.0
0.020000000000000004,0.018000000000000002,1084000.0
0.020000000000000004,0.019,1084000.0
0.020000000000000004,0.02,1083500.0
0.020000000000000004,0.021,1083500.0
0.020000000000000004,0.022000000000000002,1083500.0
0.020000000000000004,0.023000000000000003,1083000.0
0.020000000000000004,0.024,1083000.0
0.020000000000000004,0.025,1083000.0
0.020500000000000004,0.005,1090500.0
0.020500000000000004,0.006,1089500.0
0.020500000000000004,0.007,1088500.0
0.020500000000000004,0.008,1087500.0
0.020500000000000004,0.009000000000000001,1087000.0
0.020500000000000004,0.01,1086500.0
0.020500000000000004,0.011,1086000.0
0.020500000000000004,0.012,1085500.0
0.020500000000000004,0.013000000000000001,1085000.0
0.020500000000000004,0.014000000000000002,1085000.0
0.020500000000000004,0.015,1084500.0
0.020500000000000004,0.016,1084000.0
0.020500000000000004,0.017,1084000.0
0.020500000000000004,0.018000000000000002,1083500.0
0.020500000000000004,0.019,1083500.0
0.020500000000000004,0.02,1083500.0
0.020500000000000004,0.021,1083000.0
0.020500000000000004,0.022000000000000002,1083000.0
0.020500000000000004,0.023000000000000003,1083000.0
0.020500000000000004,0.024,1082500.0
0.020500000000000004,0.025,1082500.0
0.021000000000000005,0.005,1090500.0
0.021000000000000005,0.006,1089000.0
0.021000000000000005,0.007,1088000.0
0.021000000000000005,0.008,1087500.0
0.021000000000000005,0.009000000000000001,1086500.0
0.021000000000000005,0.01,1086000.0
0.021000000000000005,0.011,1085500.0
0.021000000000000005,0.012,1085000.0
0.021000000000000005,0.013000000000000001,1085000.0
0.021000000000000005,0.014000000000000002,1084500.0
0.021000000000000005,0.015,1084000.0
0.021000000000000005,0.016,1084000.0
0.021000000000000005,0.017,1083500.0
0.021000000000000005,0.018000000000000002,1083500.0
0.021000000000000005,0.019,1083000.0
0.021000000000000005,0.02,1083000.0
0.021000000000000005,0.021,1083000.0
0.021000000000000005,0.022000000000000002,1082500.0
0.021000000000000005,0.023000000000000003,1082500.0
0.021000000000000005,0.024,1082500.0
0.021000000000000005,0.025,1082500.0
0.021500000000000005,0.005,1090000.0
0.021500000000000005,0.006,1088500.0
0.021500000000000005,0.007,1088000.0
0.021500000000000005,0.008,1087000.0
0.021500000000000005,0.009000000000000001,1086500.0
0.021500000000000005,0.01,1086000.0
0.021500000000000005,0.011,1085500.0
0.021500000000000005,0.012,1085000.0
0.021500000000000005,0.013000000000000001,1084500.0
0.021500000000000005,0.014000000000000002,1084000.0
0.021500000000000005,0.015,1084000.0
0.021500000000000005,0.016,1083500.0
0.021500000000000005,0.017,1083500.0
0.021500000000000005,0.018000000000000002,1083000.0
0.021500000000000005,0.019,1083000.0
0.021500000000000005,0.02,1082500.0
0.021500000000000005,0.021,1082500.0
0.021500000000000005,0.022000000000000002,1082500.0
0.021500000000000005,0.023000000000000003,1082000.0
0.021500000000000005,0.024,1082000.0
0.021500000000000005,0.025,1082000.0
0.022000000000000006,0.005,1089500.0
0.022000000000000006,0.006,1088500.0
0.022000000000000006,0.007,1087500.0
0.022000000000000006,0.008,1086500.0
0.022000000000000006,0.009000000000000001,1086000.0
0.022000000000000006,0.01,1085500.0
0.022000000000000006,0.011,1085000.0
0.022000000000000006,0.012,1084500.0
0.022000000000000006,0.013000000000000001,1084000.0
0.022000000000000006,0.014000000000000002,1084000.0
0.022000000000000006,0.015,1083500.0
0.022000000000000006,0.016,1083500.0
0.022000000000000006,0.017,1083000.0
0.022000000000000006,0.018000000000000002,1083000.0
0.022000000000000006,0.019,1082500.0
0.022000000000000006,0.02,1082500.0
0.022000000000000006,0.021,1082000.0
0.022000000000000006,0.022000000000000002,1082000.0
0.022000000000000006,0.023000000000000003,1082000.0
0.022000000000000006,0.024,1081500.0
0.022000000000000006,0.025,1081500.0
0.022500000000000006,0.005,1089500.0
0.022500000000000006,0.006,1088000.0
0.022500000000000006,0.007,1087000.0
0.022500000000000006,0.008,1086500.0
0.022500000000000006,0.009000000000000001,1085500.0
0.022500000000000006,0.01,1085000.0
0.022500000000000006,0.011,1084500.0
0.022500000000000006,0.012,1084000.0
0.022500000000000006,0.013000000000000001,1084000.0
0.022500000000000006,0.014000000000000002,1083500.0
0.022500000000000006,0.015,1083000.0
0.022500000000000006,0.016,1083000.0
0.022500000000000006,0.017,1082500.0
0.022500000000000006,0.018000000000000002,1082500.0
0.022500000000000006,0.019,1082000.0
0.022500000000000006,0.02,1082000.0
0.022500000000000006,0.021,1082000.0
0.022500000000000006,0.022000000000000002,1081500.0
0.022500000000000006,0.023000000000000003,1081500.0
0.022500000000000006,0.024,1081500.0
0.022500000000000006,0.025,1081500.0
0.023000000000000007,0.005,1089000.0
0.023000000000000007,0.006,1088000.0
0.023000000000000007,0.007,1087000.0
0.023000000000000007,0.008,1086000.0
0.023000000000000007,0.009000000000000001,1085500.0
0.023000000000000007,0.01,1084500.0
0.023000000000000007,0.011,1084000.0
0.023000000000000007,0.012,1084000.0
0.023000000000000007,0.013000000000000001,1083500.0
0.023000000000000007,0.014000000000000002,1083000.0
0.023000000000000007,0.015,1083000.0
0.023000000000000007,0.016,1082500.0
0.023000000000000007,0.017,1082500.0
0.023000000000000007,0.018000000000000002,1082000.0
0.023000000000000007,0.019,1082000.0
0.023000000000000007,0.02,1081500.0
0.023000000000000007,0.021,1081500.0
0.023000000000000007,0.022000000000000002,1081500.0
0.023000000000000007,0.023000000000000003,1081000.0
0.023000000000000007,0.024,1081000.0
0.023000000000000007,0.025,1081000.0
0.023500000000000007,0.005,1088500.0
0.023500000000000007,0.006,1087500.0
0.023500000000000007,0.007,1086500.0
0.023500000000000007,0.008,1085500.0
0.023500000000000007,0.009000000000000001,1085000.0
0.023500000000000007,0.01,1084500.0
0.023500000000000007,0.011,1084000.0
0.023500000000000007,0.012,1083500.0
0.023500000000000007,0.013000000000000001,1083000.0
0.023500000000000007,0.014000000000000002,1082500.0
0.023500000000000007,0.015,1082500.0
0.023500000000000007,0.016,1082000.0
0.023500000000000007,0.017,1082000.0
0.023500000000000007,0.018000000000000002,1081500.0
0.023500000000000007,0.019,1081500.0
0.023500000000000007,0.02,1081500.0
0.023500000000000007,0.021,1081000.0
0.023500000000000007,0.022000000000000002,1081000.0
0.023500000000000007,0.023000000000000003,1081000.0
0.023500000000000007,0.024,1080500.0
0.023500000000000007,0.025,1080500.0
