Sigma,Gamma,Beta,Healing_Time,Final_Healing_Percentage
0.015,0.030000000000000002,0.15707963267948966,1260300.0,95.00806608187742
0.015,0.030000000000000002,0.3141592653589793,1545600.0,95.01002330685697
0.015,0.030000000000000002,0.47123889803846897,1871400.0,95.00554323767909
0.015,0.030000000000000002,0.6283185307179586,2280900.0,95.00232353771254
0.015,0.030000000000000002,0.7853981633974483,2878200.0,95.00498290788431
0.015,0.030000000000000002,0.9424777960769379,2818500.0,95.00285581226143
0.015,0.030000000000000002,1.0995574287564276,2823600.0,95.00048332563497
0.015,0.030000000000000002,1.2566370614359172,2828400.0,95.00441674445959
0.015,0.030000000000000002,1.413716694115407,2815800.0,95.0030927841691
0.015,0.030000000000000002,1.5707963267948966,2840400.0,95.0019349631205
0.015,0.034999999999999996,0.0,1082700.0,95.14348417274901
0.015,0.034999999999999996,0.15707963267948966,1260000.0,95.01786586868509
0.015,0.034999999999999996,0.3141592653589793,1545000.0,95.00664390590853
0.015,0.034999999999999996,0.47123889803846897,1870800.0,95.005353806121
0.015,0.034999999999999996,0.6283185307179586,2280000.0,95.00021576774625
0.015,0.034999999999999996,0.7853981633974483,2876700.0,95.0019543385114
0.015,0.034999999999999996,0.9424777960769379,2817600.0,95.00265884347647
0.015,0.034999999999999996,1.0995574287564276,2823000.0,95.00482448828895
0.015,0.034999999999999996,1.2566370614359172,2827500.0,95.00326217288298
0.015,0.034999999999999996,1.413716694115407,2814900.0,95.00235385917537
0.015,0.034999999999999996,1.5707963267948966,2839500.0,95.00548608901529
0.015,0.04,0.0,1082400.0,95.1647307599545
0.015,0.04,0.15707963267948966,1259700.0,95.02138425506348
0.015,0.04,0.3141592653589793,1544700.0,95.01136402178496
0.015,0.04,0.47123889803846897,1870200.0,95.0015332229454
0.015,0.04,0.6283185307179586,2279400.0,95.00046964959768
0.015,0.04,0.7853981633974483,2875800.0,95.00495101308475
0.015,0.04,0.9424777960769379,2817000.0,95.00470279404102
0.015,0.04,1.0995574287564276,2822100.0,95.0004736094468
0.015,0.04,1.2566370614359172,2826900.0,95.00467662356841
0.015,0.04,1.413716694115407,2814300.0,95.0043072076953
0.015,0.04,1.5707963267948966,2838600.0,95.00472719227001
0.015,0.045,0.0,1082100.0,95.14883049466772
0.015,0.045,0.15707963267948966,1259400.0,95.02043063383147
0.015,0.045,0.3141592653589793,1544100.0,95.00054719811035
0.015,0.045,0.47123889803846897,1869900.0,95.00427038066394
0.015,0.045,0.6283185307179586,2279100.0,95.00394886578178
0.015,0.045,0.7853981633974483,2874900.0,95.00495865712571
0.015,0.045,0.9424777960769379,2816400.0,95.0046362588493
0.015,0.045,1.0995574287564276,2821800.0,95.00502687491867
0.015,0.045,1.2566370614359172,2826300.0,95.00361639462218
0.015,0.045,1.413716694115407,2813700.0,95.0034350068028
0.015,0.045,1.5707963267948966,2837700.0,95.00092346435518
0.015,0.049999999999999996,0.0,1081800.0,95.10549441707116
0.015,0.049999999999999996,0.15707963267948966,1259100.0,95.01616742355708
0.015,0.049999999999999996,0.3141592653589793,1544100.0,95.01231220544139
0.015,0.049999999999999996,0.47123889803846897,1869600.0,95.00509544989816
0.015,0.049999999999999996,0.6283185307179586,2278500.0,95.00111622277863
0.015,0.049999999999999996,0.7853981633974483,2874000.0,95.00270568401588
0.015,0.049999999999999996,0.9424777960769379,2815800.0,95.00299532845496
0.015,0.049999999999999996,1.0995574287564276,2821200.0,95.00238111160657
0.015,0.049999999999999996,1.2566370614359172,2825700.0,95.00073390480176
0.015,0.049999999999999996,1.413716694115407,2813100.0,95.00048451537579
0.015,0.049999999999999996,1.5707963267948966,2837100.0,95.00062599474236
0.02,0.005,0.0,1089900.0,95.10949594516069
0.02,0.005,0.15707963267948966,1270800.0,95.00742673380498
0.02,0.005,0.3141592653589793,1540500.0,95.0010621139861
0.02,0.005,0.47123889803846897,1872000.0,95.0062994458018
0.02,0.005,0.6283185307179586,2294100.0,95.00480541308421
0.02,0.005,0.7853981633974483,2807100.0,95.00076787464134
0.02,0.005,0.9424777960769379,2823300.0,95.00507338764042
0.02,0.005,1.0995574287564276,2814300.0,95.00164918716195
0.02,0.005,1.2566370614359172,2813700.0,95.00465533162723
0.02,0.005,1.413716694115407,2815200.0,95.00231840276193
0.02,0.005,1.5707963267948966,2823900.0,95.00099310038972
0.02,0.01,0.0,1085700.0,95.09538266590036
0.02,0.01,0.15707963267948966,1265700.0,95.014964315172
0.02,0.01,0.3141592653589793,1534200.0,95.00744170985494
0.02,0.01,0.47123889803846897,1864500.0,95.00820173818292
0.02,0.01,0.6283185307179586,2285400.0,95.00674497100937
0.02,0.01,0.7853981633974483,2794200.0,95.0032385731749
0.02,0.01,0.9424777960769379,2812500.0,95.00014413477061
0.02,0.01,1.0995574287564276,2803500.0,95.00366347553735
0.02,0.01,1.2566370614359172,2802900.0,95.00188981889632
0.02,0.01,1.413716694115407,2804400.0,95.00161665585235
0.02,0.01,1.5707963267948966,2812500.0,95.00298187770534
0.02,0.015,0.0,1083900.0,95.13305002679682
0.02,0.015,0.15707963267948966,1263300.0,95.01442387292123
0.02,0.015,0.3141592653589793,1531200.0,95.00580554490011
0.02,0.015,0.47123889803846897,1860900.0,95.00421544871402
0.02,0.015,0.6283185307179586,2281200.0,95.00315713967319
0.02,0.015,0.7853981633974483,2787300.0,95.00014416935083
0.02,0.015,0.9424777960769379,2807700.0,95.00118381318198
0.02,0.015,1.0995574287564276,2798400.0,95.00176036790306
